ID,Strike,VerticalOrientation,VerticalValue,VerticalYinYang,HorizontalOrientation,HorizontalValue,HorizontalYinYang,OverallYinYang,OverallOrientation
1,Lion Sweep - Rise,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
2,Lion Sweep - Inside,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
3,Lion Sweep - Capture,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
4,Lion Cut - Inside,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
5,Lion Cut - Rise,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
6,Lion Cut - Point,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
7,Lion Chop - Straight,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
8,Lion Chop - Hack,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
9,Lion Chop - Arc,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
10,Lion Hook - Open,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
11,Lion Hook - Sever,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
12,Lion Hook - Low,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
13,Lion Shock - Straight,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
14,Lion Shock - ReturnBody,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
15,Lion Shock - Roll,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
16,Lion Block - Break,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
17,Lion Block - Upward,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
18,Lion Block - Downward,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
19,Lion Seize - Harvest,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
20,Lion Seize - Uproot,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
21,Lion Seize - Curl,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
22,Lion Grasp - Pluck,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
23,Lion Grasp - Hurl,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
24,Lion Grasp - Snap,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
25,Dragon Push - Inside,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
26,Dragon Push - Straight,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
27,Dragon Push - Rotate,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
28,Dragon Lift - Capture,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
29,Dragon Lift - Rise,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
